folder	file_name	title	artist	level	spotify	youtube	duration	sticky	is_new	has_info	part_tags	part_format	chord_count	chord_list	has_riff	edit_link
active	What's Up.txt	What's Up	4 Non Blondes	Easy				True	False	False	False	none	3	A, Bm, D	False	otwórz plik
active	Where Is My Mind.txt	Where Is My Mind	Pixies	Medium	0KzAbK6nItSqNh8q70tb0K	49FB9hhoO6c		True	False	True	True	<small><i>	6	A, Bb, Bbm, C, Dm, F	True	otwórz plik
active	White Christmas.txt	🎅White Christmas	Bing Crosby	Medium		w9QLn7gM-hY		True	False	True	True	<small><i>	7	Am, C, Cm, D, Em, G, G7	False	otwórz plik
active	Why Don't You Get A Job.txt	Why Don't You Get A Job	The Offspring	Easy	0sNKiz82ATCvT3f3XVVUUj			True	False	False	False	none	4	Bb, C, F, G	False	otwórz plik
active	Wicked Game.txt	Wicked Game	Chris Isaak	Easy	390AWnOn2rfe9FzQjYmxIH			True	False	False	True	<i>	3	A, D, Em	False	otwórz plik
active	Wish You Were Here.txt	Wish You Were Here	Pink Floyd	Medium				True	False	False	False	none	6	A, Am, C, D, Em, G	False	otwórz plik
active	Wonderwall.txt	Wonderwall	Oasis	Medium				True	False	False	False	<i>	5	A, C, D, Em, G	False	otwórz plik
active	Yellow.txt	Yellow	Coldplay	Easy	3QhXzfpjEhLfNrF7qUz15M			True	False	False	False	none	4	C, F, G, Gm	False	otwórz plik
active	You Are My Sunshine.txt	You Are My Sunshine	Johnny Cash	Easy				True	False	False	False	none	3	C, F, G	False	otwórz plik
active	You Know I'm No Good.txt	You Know I'm No Good	Amy Winehouse	Medium	4zQuwW24dweWcaX0fEJkP2			True	False	False	True	<i>	6	A7, Am, Dm, E7, F, Gm	False	otwórz plik
active	You Will Never Know.txt	You Will Never Know	Imany	Easy	4sZkRuS2CcfDPEjrNSyHsE			True	False	True	True	<small><i>	5	Am, Dm, Em, F, G	False	otwórz plik
active	Zombie.txt	Zombie	The Cranberries	Easy	2IZZqH4K02UIYg5EohpNHF			True	False	False	False	none	4	C, D, Em, G	False	otwórz plik
archive	Dock Of The Bay.txt	(Sittin' on the) Dock of the Bay	Otis Redding	Medium	3zBhihYUHBmGd2bcQIobrF			True	False	False	False	none	7	A, B7, C, D, E7, F, G	False	otwórz plik
archive	Stir It Up.txt	Stir It Up	Bob Marley	Easy	4FNm4ZJaUVLDCMXcqwS6zY			True	False	False	False	none	4	C, D, D7, G	False	otwórz plik
archive	You and I.txt	You And I	Ingrid Michaelson	Medium	4oeRfmp9XpKWym6YD1WvBP			True	False	False	False	none	6	Am, C, D, E, F, G	False	otwórz plik
new	Blister in the Sun.txt	🔥Blister in the Sun	The Violent Femmes	Medium			5	True	True	False	True	none	4	C, D, Em, G	False	otwórz plik
new	Breakfast at Tiffany's .txt	🔥Breakfast at Tiffany's	Deep Blue Something	Easy			5	True	True	False	True	none	1	C	False	otwórz plik
new	Faith.txt	🔥Faith	George Michael	Medium			5	True	True	True	True	none	4	C, Dm, F, G	False	otwórz plik
new	Go Your Own Way.txt	🔥Go Your Own Way	Fleetwood Mac	Medium			5	True	True	False	False	none	5	Bb, C, Dm, F, Fsus2	False	otwórz plik
new	Home.txt	🔥Home	Edward Sharpe and the Magnetic Zeros	Medium			5	True	False	False	True	none	6	A, Bm, D, Em, Em(hey,, G	False	otwórz plik
new	I Knew You Were Trouble.txt	🔥I Knew You Were Trouble	Taylor Swift	Medium			5	True	True	False	False	none	4	Bb, C, Dm, F	False	otwórz plik
new	My Way.txt	🔥My way	Frank Sinatra	Hard				True	True	False	True	<small><i>	14	A, A7, Asus4, B7, Bm7, D, D7, Dmaj7, Em, Em7, F#m, G, Gm, Gsus4	False	otwórz plik
new	Paint It, Black.txt	🔥Paint It, Black	The Rolling Stones	Easy	63T7DJ1AFDD6Bn8VzG6JE8			True	True	False	True	<small><i>	6	A, B, D, EM, Em, G	False	otwórz plik
new	Relax Take It Easy.txt	🔥Relax Take It Easy	Mika	Easy			5	True	False	False	True	none	7	Am, Dm, Dsus2, Em, Em7, F, G	False	otwórz plik
new	Rose Tattoo.txt	🔥Rose Tattoo	Dropkick Murphys	Easy	a9RnzKhERxeokp9SNyllrQ			True	True	False	True	<small><i>	5	Am, C, Dm, F, G	False	otwórz plik
new	Somebody Told Me.txt	🔥Somebody Told Me	The Killers	Medium	6PwjJ58I4t7Mae9xfZ9l9v		5	True	True	False	False	<i>	6	Am, C, Dm, E7, F, G	False	otwórz plik
new	Sweater Weather.txt	🔥Sweater Weather	The Neighbourhood	Medium			5	True	False	False	True	none	5	Bb, Cm, Eb, F, Gm	False	otwórz plik
new	Teenage Dirtbag.txt	🔥Teenage Dirtbag	Wheatus	Medium	25FTMokYEbEWHEdss5JLZS		5	True	True	False	True	<small><i>	5	Bb, C, Csus4, Dm, F	False	otwórz plik
new	You Shook Me All Night Long.txt	🔥You Shook Me All Night Long	AC/DC	Medium				True	True	False	False	none	4	C, D, D7, G	False	otwórz plik
